timestamp,packet_length,dst_port,src_port,tcp_flag_syn,tcp_flag_fin,tcp_flag_psh,tcp_flag_ack,inter_arrival_time,traffic_type,is_attack
1781260356.1073136,44,55517,51973,0,0,0,1,5.364418029785156e-05,rest_normal,0
1781260356.1073427,45,55517,51973,0,0,1,1,2.9087066650390625e-05,rest_normal,0
1781260356.1073623,44,51973,55517,0,0,0,1,1.9550323486328125e-05,rest_normal,0
1781260356.1074393,85,51973,55517,0,0,1,1,7.700920104980469e-05,rest_normal,0
1781260356.107468,44,55517,51973,0,0,0,1,2.86102294921875e-05,rest_normal,0
1781260356.1075635,121,55517,51973,0,0,1,1,9.560585021972656e-05,rest_normal,0
1781260356.1075833,44,51973,55517,0,0,0,1,1.9788742065429688e-05,rest_normal,0
1781260356.1077409,45,53184,55232,0,0,1,1,0.0001575946807861328,rest_normal,0
1781260356.1077745,44,55232,53184,0,0,0,1,3.361701965332031e-05,rest_normal,0
1781260356.1078176,45,55232,53184,0,0,1,1,4.315376281738281e-05,rest_normal,0
1781260356.1078491,85,51973,55517,0,0,1,1,3.147125244140625e-05,rest_normal,0
1781260356.1078537,44,53184,55232,0,0,0,1,4.5299530029296875e-06,rest_normal,0
1781260356.1079044,85,53184,55232,0,0,1,1,5.078315734863281e-05,rest_normal,0
1781260356.1079087,44,55517,51973,0,0,0,1,4.291534423828125e-06,rest_normal,0
1781260356.1079414,44,55232,53184,0,0,0,1,3.266334533691406e-05,rest_normal,0
1781260356.1079545,121,55517,51973,0,0,1,1,1.3113021850585938e-05,rest_normal,0
1781260356.107977,44,51973,55517,0,0,0,1,2.2411346435546875e-05,rest_normal,0
1781260356.1080012,121,55232,53184,0,0,1,1,2.4318695068359375e-05,rest_normal,0
1781260356.1080296,44,53184,55232,0,0,0,1,2.8371810913085938e-05,rest_normal,0
1781260356.1162949,45,53184,55232,0,0,1,1,0.008265256881713867,rest_normal,0
1781260356.116346,44,55232,53184,0,0,0,1,5.1021575927734375e-05,rest_normal,0
1781260356.1163833,45,55232,53184,0,0,1,1,3.743171691894531e-05,rest_normal,0
1781260356.1164143,44,53184,55232,0,0,0,1,3.0994415283203125e-05,rest_normal,0
1781260356.1164453,85,53184,55232,0,0,1,1,3.0994415283203125e-05,rest_normal,0
1781260356.1164756,44,55232,53184,0,0,0,1,3.0279159545898438e-05,rest_normal,0
1781260356.1165361,121,55232,53184,0,0,1,1,6.0558319091796875e-05,rest_normal,0
1781260356.1165624,44,53184,55232,0,0,0,1,2.6226043701171875e-05,rest_normal,0
1781260356.1724112,76,9229,55597,1,0,0,0,0.05584883689880371,rest_normal,0
1781260356.1724381,64,55597,9229,0,0,0,1,2.6941299438476562e-05,rest_normal,0
1781260356.2078989,45,51973,55517,0,0,1,1,0.035460710525512695,rest_normal,0
1781260356.207953,44,55517,51973,0,0,0,1,5.412101745605469e-05,rest_normal,0
1781260356.2079928,45,55517,51973,0,0,1,1,3.981590270996094e-05,rest_normal,0
1781260356.2080271,44,51973,55517,0,0,0,1,3.4332275390625e-05,rest_normal,0
1781260356.2080855,85,51973,55517,0,0,1,1,5.841255187988281e-05,rest_normal,0
1781260356.208125,44,55517,51973,0,0,0,1,3.9577484130859375e-05,rest_normal,0
1781260356.208204,121,55517,51973,0,0,1,1,7.891654968261719e-05,rest_normal,0
1781260356.208233,44,51973,55517,0,0,0,1,2.9087066650390625e-05,rest_normal,0
1781260356.2174356,45,53184,55232,0,0,1,1,0.00920248031616211,rest_normal,0
1781260356.217488,44,55232,53184,0,0,0,1,5.245208740234375e-05,rest_normal,0
1781260356.2175357,45,55232,53184,0,0,1,1,4.76837158203125e-05,rest_normal,0
1781260356.2175725,44,53184,55232,0,0,0,1,3.6716461181640625e-05,rest_normal,0
1781260356.2176087,85,53184,55232,0,0,1,1,3.62396240234375e-05,rest_normal,0
1781260356.217641,44,55232,53184,0,0,0,1,3.24249267578125e-05,rest_normal,0
1781260356.2177029,121,55232,53184,0,0,1,1,6.175041198730469e-05,rest_normal,0
1781260356.2177355,44,53184,55232,0,0,0,1,3.266334533691406e-05,rest_normal,0
1781260356.3098378,45,51973,55517,0,0,1,1,0.0921022891998291,rest_normal,0
1781260356.3098912,44,55517,51973,0,0,0,1,5.340576171875e-05,rest_normal,0
1781260356.309928,45,55517,51973,0,0,1,1,3.6716461181640625e-05,rest_normal,0
1781260356.3099651,44,51973,55517,0,0,0,1,3.719329833984375e-05,rest_normal,0
1781260356.3099947,85,51973,55517,0,0,1,1,2.956390380859375e-05,rest_normal,0
1781260356.3100235,44,55517,51973,0,0,0,1,2.8848648071289062e-05,rest_normal,0
1781260356.3101027,121,55517,51973,0,0,1,1,7.915496826171875e-05,rest_normal,0
1781260356.310139,44,51973,55517,0,0,0,1,3.62396240234375e-05,rest_normal,0
1781260356.3186088,45,53184,55232,0,0,1,1,0.008469820022583008,rest_normal,0
1781260356.3186662,44,55232,53184,0,0,0,1,5.745887756347656e-05,rest_normal,0
1781260356.3187585,45,55232,53184,0,0,1,1,9.226799011230469e-05,rest_normal,0
1781260356.318792,44,53184,55232,0,0,0,1,3.361701965332031e-05,rest_normal,0
1781260356.318835,85,53184,55232,0,0,1,1,4.291534423828125e-05,rest_normal,0
1781260356.3188674,44,55232,53184,0,0,0,1,3.24249267578125e-05,rest_normal,0
1781260356.318928,121,55232,53184,0,0,1,1,6.0558319091796875e-05,rest_normal,0
1781260356.318956,44,53184,55232,0,0,0,1,2.7894973754882812e-05,rest_normal,0
1781260356.4105904,45,51973,55517,0,0,1,1,0.09163451194763184,rest_normal,0
1781260356.4106514,44,55517,51973,0,0,0,1,6.103515625e-05,rest_normal,0
1781260356.4106846,45,55517,51973,0,0,1,1,3.314018249511719e-05,rest_normal,0
1781260356.4107103,44,51973,55517,0,0,0,1,2.574920654296875e-05,rest_normal,0
1781260356.4107552,85,51973,55517,0,0,1,1,4.482269287109375e-05,rest_normal,0
1781260356.4107964,44,55517,51973,0,0,0,1,4.124641418457031e-05,rest_normal,0
1781260356.410879,121,55517,51973,0,0,1,1,8.249282836914062e-05,rest_normal,0
1781260356.410912,44,51973,55517,0,0,0,1,3.314018249511719e-05,rest_normal,0
1781260356.4206133,45,53184,55232,0,0,1,1,0.009701251983642578,rest_normal,0
1781260356.4206643,44,55232,53184,0,0,0,1,5.1021575927734375e-05,rest_normal,0
1781260356.4207149,45,55232,53184,0,0,1,1,5.054473876953125e-05,rest_normal,0
1781260356.4207504,44,53184,55232,0,0,0,1,3.552436828613281e-05,rest_normal,0
1781260356.4208474,85,53184,55232,0,0,1,1,9.703636169433594e-05,rest_normal,0
1781260356.420879,44,55232,53184,0,0,0,1,3.147125244140625e-05,rest_normal,0
1781260356.4209807,121,55232,53184,0,0,1,1,0.00010180473327636719,rest_normal,0
1781260356.4210083,44,53184,55232,0,0,0,1,2.765655517578125e-05,rest_normal,0
1781260356.51139,45,51973,55517,0,0,1,1,0.09038162231445312,rest_normal,0
1781260356.5114436,44,55517,51973,0,0,0,1,5.364418029785156e-05,rest_normal,0
1781260356.5114784,45,55517,51973,0,0,1,1,3.4809112548828125e-05,rest_normal,0
1781260356.5115104,44,51973,55517,0,0,0,1,3.1948089599609375e-05,rest_normal,0
1781260356.511561,85,51973,55517,0,0,1,1,5.054473876953125e-05,rest_normal,0
1781260356.511612,44,55517,51973,0,0,0,1,5.1021575927734375e-05,rest_normal,0
1781260356.5117118,121,55517,51973,0,0,1,1,9.989738464355469e-05,rest_normal,0
1781260356.511747,44,51973,55517,0,0,0,1,3.504753112792969e-05,rest_normal,0
1781260356.5221477,45,53184,55232,0,0,1,1,0.010400772094726562,rest_normal,0
1781260356.522199,44,55232,53184,0,0,0,1,5.125999450683594e-05,rest_normal,0
1781260356.5222456,45,55232,53184,0,0,1,1,4.673004150390625e-05,rest_normal,0
1781260356.5222807,44,53184,55232,0,0,0,1,3.504753112792969e-05,rest_normal,0
1781260356.5223136,85,53184,55232,0,0,1,1,3.2901763916015625e-05,rest_normal,0
1781260356.522343,44,55232,53184,0,0,0,1,2.9325485229492188e-05,rest_normal,0
1781260356.5224428,121,55232,53184,0,0,1,1,9.989738464355469e-05,rest_normal,0
1781260356.5224833,44,53184,55232,0,0,0,1,4.0531158447265625e-05,rest_normal,0
1781260356.61034,45,51973,55517,0,0,1,1,0.08785676956176758,rest_normal,0
1781260356.6104,44,55517,51973,0,0,0,1,5.984306335449219e-05,rest_normal,0
1781260356.6104343,45,55517,51973,0,0,1,1,3.4332275390625e-05,rest_normal,0
1781260356.6104696,44,51973,55517,0,0,0,1,3.528594970703125e-05,rest_normal,0
1781260356.6105125,85,51973,55517,0,0,1,1,4.291534423828125e-05,rest_normal,0
1781260356.6105444,44,55517,51973,0,0,0,1,3.1948089599609375e-05,rest_normal,0
1781260356.6106496,121,55517,51973,0,0,1,1,0.00010514259338378906,rest_normal,0
1781260356.6106777,44,51973,55517,0,0,0,1,2.8133392333984375e-05,rest_normal,0
1781260356.6108315,45,53184,55232,0,0,1,1,0.0001537799835205078,rest_normal,0
1781260356.610872,44,55232,53184,0,0,0,1,4.0531158447265625e-05,rest_normal,0
1781260356.6109385,45,55232,53184,0,0,1,1,6.651878356933594e-05,rest_normal,0
1781260356.6109693,44,53184,55232,0,0,0,1,3.075599670410156e-05,rest_normal,0
1781260356.6110013,85,53184,55232,0,0,1,1,3.1948089599609375e-05,rest_normal,0
1781260356.611029,44,55232,53184,0,0,0,1,2.765655517578125e-05,rest_normal,0
1781260356.6110904,121,55232,53184,0,0,1,1,6.151199340820312e-05,rest_normal,0
1781260356.611122,44,53184,55232,0,0,0,1,3.147125244140625e-05,rest_normal,0
1781260356.6120367,45,51973,55517,0,0,1,1,0.0009148120880126953,rest_normal,0
1781260356.612077,44,55517,51973,0,0,0,1,4.029273986816406e-05,rest_normal,0
1781260356.612116,45,55517,51973,0,0,1,1,3.910064697265625e-05,rest_normal,0
1781260356.6121473,44,51973,55517,0,0,0,1,3.123283386230469e-05,rest_normal,0
1781260356.612178,85,51973,55517,0,0,1,1,3.075599670410156e-05,rest_normal,0
1781260356.612209,44,55517,51973,0,0,0,1,3.0994415283203125e-05,rest_normal,0
1781260356.6122758,121,55517,51973,0,0,1,1,6.67572021484375e-05,rest_normal,0
1781260356.6123028,44,51973,55517,0,0,0,1,2.6941299438476562e-05,rest_normal,0
1781260356.6230645,45,53184,55232,0,0,1,1,0.010761737823486328,rest_normal,0
1781260356.6231186,44,55232,53184,0,0,0,1,5.412101745605469e-05,rest_normal,0
1781260356.62317,45,55232,53184,0,0,1,1,5.125999450683594e-05,rest_normal,0
1781260356.6232045,44,53184,55232,0,0,0,1,3.457069396972656e-05,rest_normal,0
1781260356.6232448,85,53184,55232,0,0,1,1,4.029273986816406e-05,rest_normal,0
1781260356.623277,44,55232,53184,0,0,0,1,3.218650817871094e-05,rest_normal,0
1781260356.6233332,121,55232,53184,0,0,1,1,5.626678466796875e-05,rest_normal,0
1781260356.6233609,44,53184,55232,0,0,0,1,2.765655517578125e-05,rest_normal,0
1781260356.6719255,76,9229,55597,1,0,0,0,0.04856467247009277,rest_normal,0
1781260356.6719613,64,55597,9229,0,0,0,1,3.5762786865234375e-05,rest_normal,0
1781260356.712963,45,51973,55517,0,0,1,1,0.04100179672241211,rest_normal,0
1781260356.7130136,44,55517,51973,0,0,0,1,5.054473876953125e-05,rest_normal,0
1781260356.7130513,45,55517,51973,0,0,1,1,3.7670135498046875e-05,rest_normal,0
1781260356.713089,44,51973,55517,0,0,0,1,3.7670135498046875e-05,rest_normal,0
1781260356.7131228,85,51973,55517,0,0,1,1,3.3855438232421875e-05,rest_normal,0
1781260356.7131572,44,55517,51973,0,0,0,1,3.4332275390625e-05,rest_normal,0
1781260356.7132273,121,55517,51973,0,0,1,1,7.009506225585938e-05,rest_normal,0
1781260356.7132552,44,51973,55517,0,0,0,1,2.7894973754882812e-05,rest_normal,0
1781260356.724959,45,53184,55232,0,0,1,1,0.011703729629516602,rest_normal,0
1781260356.7250044,44,55232,53184,0,0,0,1,4.553794860839844e-05,rest_normal,0
1781260356.7250483,45,55232,53184,0,0,1,1,4.38690185546875e-05,rest_normal,0
1781260356.725083,44,53184,55232,0,0,0,1,3.4809112548828125e-05,rest_normal,0
1781260356.7251148,85,53184,55232,0,0,1,1,3.170967102050781e-05,rest_normal,0
1781260356.72515,44,55232,53184,0,0,0,1,3.528594970703125e-05,rest_normal,0
1781260356.725206,121,55232,53184,0,0,1,1,5.5789947509765625e-05,rest_normal,0
1781260356.7252336,44,53184,55232,0,0,0,1,2.765655517578125e-05,rest_normal,0
1781260356.8144495,45,51973,55517,0,0,1,1,0.08921599388122559,rest_normal,0
1781260356.8145056,44,55517,51973,0,0,0,1,5.602836608886719e-05,rest_normal,0
